FIPS,Name of Area,Qualifying Name,State (FIPS),County,Census Tract,Total Population,Population 25 Years and Over:,Population 25 Years and Over: Less than High School,Population 25 Years and Over: High School Graduate (Includes Equivalency),Population 25 Years and Over: Some College,Population 25 Years and Over: Bachelor's Degree,Population 25 Years and Over: Master's Degree,Population 25 Years and Over: Professional School Degree,Population 25 Years and Over: Doctorate Degree
6037401703,"Census Tract 4017.03, Los Angeles County, California","Census Tract 4017.03, Los Angeles County, California",6,37,401703,3982,2348,348,507,804,444,212,33,0
6037401704,"Census Tract 4017.04, Los Angeles County, California","Census Tract 4017.04, Los Angeles County, California",6,37,401704,5984,3939,808,962,1091,774,201,35,68
6037401800,"Census Tract 4018, Los Angeles County, California","Census Tract 4018, Los Angeles County, California",6,37,401800,7467,4978,225,650,1073,1513,885,173,459
6037401901,"Census Tract 4019.01, Los Angeles County, California","Census Tract 4019.01, Los Angeles County, California",6,37,401901,4391,510,61,60,112,86,97,21,73
6037401902,"Census Tract 4019.02, Los Angeles County, California","Census Tract 4019.02, Los Angeles County, California",6,37,401902,5424,4304,236,236,1204,1166,673,306,483
6037402001,"Census Tract 4020.01, Los Angeles County, California","Census Tract 4020.01, Los Angeles County, California",6,37,402001,3275,2152,392,371,726,339,252,56,16
6037402002,"Census Tract 4020.02, Los Angeles County, California","Census Tract 4020.02, Los Angeles County, California",6,37,402002,4086,2638,267,401,783,616,331,114,126
6037402101,"Census Tract 4021.01, Los Angeles County, California","Census Tract 4021.01, Los Angeles County, California",6,37,402101,5042,2724,1218,576,632,244,31,23,0
6037402102,"Census Tract 4021.02, Los Angeles County, California","Census Tract 4021.02, Los Angeles County, California",6,37,402102,4927,2787,688,829,773,366,87,9,35
6037402200,"Census Tract 4022, Los Angeles County, California","Census Tract 4022, Los Angeles County, California",6,37,402200,6728,4635,800,1069,1649,751,291,42,33
6037402301,"Census Tract 4023.01, Los Angeles County, California","Census Tract 4023.01, Los Angeles County, California",6,37,402301,6138,3359,1284,861,694,413,53,46,8
6037402303,"Census Tract 4023.03, Los Angeles County, California","Census Tract 4023.03, Los Angeles County, California",6,37,402303,4599,2479,1018,769,447,180,61,4,0
6037402304,"Census Tract 4023.04, Los Angeles County, California","Census Tract 4023.04, Los Angeles County, California",6,37,402304,4183,2054,1160,568,273,47,6,0,0
6037402402,"Census Tract 4024.02, Los Angeles County, California","Census Tract 4024.02, Los Angeles County, California",6,37,402402,6393,3958,754,1059,1167,656,263,49,10
6037402403,"Census Tract 4024.03, Los Angeles County, California","Census Tract 4024.03, Los Angeles County, California",6,37,402403,5086,2446,541,851,733,131,78,59,53
6037402404,"Census Tract 4024.04, Los Angeles County, California","Census Tract 4024.04, Los Angeles County, California",6,37,402404,2102,59,0,5,24,20,10,0,0
6037402405,"Census Tract 4024.05, Los Angeles County, California","Census Tract 4024.05, Los Angeles County, California",6,37,402405,3094,1799,895,421,290,152,23,9,9
6037402406,"Census Tract 4024.06, Los Angeles County, California","Census Tract 4024.06, Los Angeles County, California",6,37,402406,4028,2469,785,628,557,401,48,41,9
6037402501,"Census Tract 4025.01, Los Angeles County, California","Census Tract 4025.01, Los Angeles County, California",6,37,402501,5557,2670,1329,623,600,111,7,0,0
6037402502,"Census Tract 4025.02, Los Angeles County, California","Census Tract 4025.02, Los Angeles County, California",6,37,402502,6708,3917,2063,980,698,125,46,0,5
6037402600,"Census Tract 4026, Los Angeles County, California","Census Tract 4026, Los Angeles County, California",6,37,402600,8285,5050,1601,826,1725,497,297,82,22
6037402702,"Census Tract 4027.02, Los Angeles County, California","Census Tract 4027.02, Los Angeles County, California",6,37,402702,5995,2839,1457,733,520,125,0,0,4
6037402703,"Census Tract 4027.03, Los Angeles County, California","Census Tract 4027.03, Los Angeles County, California",6,37,402703,4488,2687,953,631,789,237,18,28,31
6037402705,"Census Tract 4027.05, Los Angeles County, California","Census Tract 4027.05, Los Angeles County, California",6,37,402705,3538,2320,596,595,791,214,85,21,18
6037402706,"Census Tract 4027.06, Los Angeles County, California","Census Tract 4027.06, Los Angeles County, California",6,37,402706,4203,2727,733,843,747,258,138,0,8
6037402801,"Census Tract 4028.01, Los Angeles County, California","Census Tract 4028.01, Los Angeles County, California",6,37,402801,5276,2500,1351,502,516,125,3,3,0
6037402803,"Census Tract 4028.03, Los Angeles County, California","Census Tract 4028.03, Los Angeles County, California",6,37,402803,3531,1792,975,494,224,62,22,8,7
6037402804,"Census Tract 4028.04, Los Angeles County, California","Census Tract 4028.04, Los Angeles County, California",6,37,402804,4374,2105,1136,518,295,145,6,0,5
6037402902,"Census Tract 4029.02, Los Angeles County, California","Census Tract 4029.02, Los Angeles County, California",6,37,402902,6224,3527,1474,852,798,343,45,15,0
6037402903,"Census Tract 4029.03, Los Angeles County, California","Census Tract 4029.03, Los Angeles County, California",6,37,402903,4443,2408,867,738,548,188,62,5,0
6037402904,"Census Tract 4029.04, Los Angeles County, California","Census Tract 4029.04, Los Angeles County, California",6,37,402904,3282,1997,878,515,399,145,60,0,0
6037403000,"Census Tract 4030, Los Angeles County, California","Census Tract 4030, Los Angeles County, California",6,37,403000,7354,4181,1798,1014,712,483,34,99,41
6037403200,"Census Tract 4032, Los Angeles County, California","Census Tract 4032, Los Angeles County, California",6,37,403200,741,634,253,137,131,103,3,7,0
6037403303,"Census Tract 4033.03, Los Angeles County, California","Census Tract 4033.03, Los Angeles County, California",6,37,403303,2456,1747,220,366,650,361,82,46,22
6037403304,"Census Tract 4033.04, Los Angeles County, California","Census Tract 4033.04, Los Angeles County, California",6,37,403304,4940,3625,287,563,819,1247,521,127,61
6037403305,"Census Tract 4033.05, Los Angeles County, California","Census Tract 4033.05, Los Angeles County, California",6,37,403305,2158,1371,47,203,285,472,225,102,37
6037403312,"Census Tract 4033.12, Los Angeles County, California","Census Tract 4033.12, Los Angeles County, California",6,37,403312,5164,3668,457,617,1348,882,294,37,33
6037403316,"Census Tract 4033.16, Los Angeles County, California","Census Tract 4033.16, Los Angeles County, California",6,37,403316,7570,5123,344,1290,1457,1132,700,133,67
6037403317,"Census Tract 4033.17, Los Angeles County, California","Census Tract 4033.17, Los Angeles County, California",6,37,403317,4339,3077,321,529,1007,790,350,43,37
6037403318,"Census Tract 4033.18, Los Angeles County, California","Census Tract 4033.18, Los Angeles County, California",6,37,403318,6069,3944,308,687,1486,1071,308,57,27
6037403319,"Census Tract 4033.19, Los Angeles County, California","Census Tract 4033.19, Los Angeles County, California",6,37,403319,4251,3135,156,441,1043,1099,301,67,28
6037403320,"Census Tract 4033.20, Los Angeles County, California","Census Tract 4033.20, Los Angeles County, California",6,37,403320,5223,3765,230,510,883,1469,407,203,63
6037403321,"Census Tract 4033.21, Los Angeles County, California","Census Tract 4033.21, Los Angeles County, California",6,37,403321,5950,4117,383,708,1155,1090,519,225,37
6037403322,"Census Tract 4033.22, Los Angeles County, California","Census Tract 4033.22, Los Angeles County, California",6,37,403322,3597,2468,169,413,767,751,332,24,12
6037403323,"Census Tract 4033.23, Los Angeles County, California","Census Tract 4033.23, Los Angeles County, California",6,37,403323,5190,3659,365,576,809,1230,409,127,143
6037403324,"Census Tract 4033.24, Los Angeles County, California","Census Tract 4033.24, Los Angeles County, California",6,37,403324,6904,4998,351,687,1132,1820,646,320,42
6037403325,"Census Tract 4033.25, Los Angeles County, California","Census Tract 4033.25, Los Angeles County, California",6,37,403325,4857,3221,311,435,828,1096,365,48,138
6037403401,"Census Tract 4034.01, Los Angeles County, California","Census Tract 4034.01, Los Angeles County, California",6,37,403401,5028,3525,321,404,1176,1198,364,62,0
6037403402,"Census Tract 4034.02, Los Angeles County, California","Census Tract 4034.02, Los Angeles County, California",6,37,403402,3626,2325,122,507,639,790,155,74,38
6037403403,"Census Tract 4034.03, Los Angeles County, California","Census Tract 4034.03, Los Angeles County, California",6,37,403403,5028,3479,107,324,802,1528,490,198,30
6037403404,"Census Tract 4034.04, Los Angeles County, California","Census Tract 4034.04, Los Angeles County, California",6,37,403404,2663,1858,160,275,416,591,321,41,54
6037403405,"Census Tract 4034.05, Los Angeles County, California","Census Tract 4034.05, Los Angeles County, California",6,37,403405,1771,1268,48,208,331,430,130,80,41
6037403406,"Census Tract 4034.06, Los Angeles County, California","Census Tract 4034.06, Los Angeles County, California",6,37,403406,2889,1845,199,298,470,656,164,41,17
6037403407,"Census Tract 4034.07, Los Angeles County, California","Census Tract 4034.07, Los Angeles County, California",6,37,403407,2243,1543,35,180,380,499,290,109,50
6037403408,"Census Tract 4034.08, Los Angeles County, California","Census Tract 4034.08, Los Angeles County, California",6,37,403408,6336,4480,380,526,1380,1698,269,195,32
6037403500,"Census Tract 4035, Los Angeles County, California","Census Tract 4035, Los Angeles County, California",6,37,403500,1714,1271,148,206,378,262,178,81,18
6037403600,"Census Tract 4036, Los Angeles County, California","Census Tract 4036, Los Angeles County, California",6,37,403600,6949,4549,402,976,1808,1093,209,61,0
6037403702,"Census Tract 4037.02, Los Angeles County, California","Census Tract 4037.02, Los Angeles County, California",6,37,403702,3540,2363,257,444,865,571,163,47,16
6037403703,"Census Tract 4037.03, Los Angeles County, California","Census Tract 4037.03, Los Angeles County, California",6,37,403703,4650,3122,283,480,1421,654,206,44,34
6037403721,"Census Tract 4037.21, Los Angeles County, California","Census Tract 4037.21, Los Angeles County, California",6,37,403721,4991,3309,400,797,1372,550,161,27,2
6037403722,"Census Tract 4037.22, Los Angeles County, California","Census Tract 4037.22, Los Angeles County, California",6,37,403722,5586,3319,441,1064,1306,367,101,40,0
6037403801,"Census Tract 4038.01, Los Angeles County, California","Census Tract 4038.01, Los Angeles County, California",6,37,403801,5752,3668,507,1059,1291,604,183,0,24
6037403802,"Census Tract 4038.02, Los Angeles County, California","Census Tract 4038.02, Los Angeles County, California",6,37,403802,5992,3736,626,986,1447,464,166,19,28
6037403901,"Census Tract 4039.01, Los Angeles County, California","Census Tract 4039.01, Los Angeles County, California",6,37,403901,3387,2173,367,544,837,358,66,1,0
6037403902,"Census Tract 4039.02, Los Angeles County, California","Census Tract 4039.02, Los Angeles County, California",6,37,403902,4670,3248,527,865,1376,304,146,20,10
6037404000,"Census Tract 4040, Los Angeles County, California","Census Tract 4040, Los Angeles County, California",6,37,404000,5056,3212,525,1080,1041,405,125,20,16
6037404100,"Census Tract 4041, Los Angeles County, California","Census Tract 4041, Los Angeles County, California",6,37,404100,5550,3008,995,851,729,382,51,0,0
6037404201,"Census Tract 4042.01, Los Angeles County, California","Census Tract 4042.01, Los Angeles County, California",6,37,404201,3829,1617,502,562,379,151,23,0,0
6037404202,"Census Tract 4042.02, Los Angeles County, California","Census Tract 4042.02, Los Angeles County, California",6,37,404202,4031,1677,306,618,425,205,67,39,17
6037404301,"Census Tract 4043.01, Los Angeles County, California","Census Tract 4043.01, Los Angeles County, California",6,37,404301,5839,3316,1102,1281,569,275,69,0,20
6037404302,"Census Tract 4043.02, Los Angeles County, California","Census Tract 4043.02, Los Angeles County, California",6,37,404302,1842,1244,332,400,396,114,2,0,0
6037404401,"Census Tract 4044.01, Los Angeles County, California","Census Tract 4044.01, Los Angeles County, California",6,37,404401,3758,2072,573,677,648,147,22,5,0
6037404402,"Census Tract 4044.02, Los Angeles County, California","Census Tract 4044.02, Los Angeles County, California",6,37,404402,5079,3176,840,1147,922,219,48,0,0
6037404501,"Census Tract 4045.01, Los Angeles County, California","Census Tract 4045.01, Los Angeles County, California",6,37,404501,2737,1624,679,664,198,25,53,5,0
6037404503,"Census Tract 4045.03, Los Angeles County, California","Census Tract 4045.03, Los Angeles County, California",6,37,404503,3396,2020,551,803,409,203,25,22,7
6037404504,"Census Tract 4045.04, Los Angeles County, California","Census Tract 4045.04, Los Angeles County, California",6,37,404504,5270,2850,1296,876,478,149,43,8,0
6037404600,"Census Tract 4046, Los Angeles County, California","Census Tract 4046, Los Angeles County, California",6,37,404600,1497,874,278,289,236,57,13,0,1
6037404701,"Census Tract 4047.01, Los Angeles County, California","Census Tract 4047.01, Los Angeles County, California",6,37,404701,5505,3598,1815,807,722,219,28,7,0
6037404702,"Census Tract 4047.02, Los Angeles County, California","Census Tract 4047.02, Los Angeles County, California",6,37,404702,6562,3618,1549,986,716,298,44,25,0
6037404703,"Census Tract 4047.03, Los Angeles County, California","Census Tract 4047.03, Los Angeles County, California",6,37,404703,3428,1850,769,588,367,101,6,15,4
6037404801,"Census Tract 4048.01, Los Angeles County, California","Census Tract 4048.01, Los Angeles County, California",6,37,404801,7341,4705,1905,1367,704,500,179,50,0
6037404802,"Census Tract 4048.02, Los Angeles County, California","Census Tract 4048.02, Los Angeles County, California",6,37,404802,4577,2611,864,958,539,166,61,23,0
6037404803,"Census Tract 4048.03, Los Angeles County, California","Census Tract 4048.03, Los Angeles County, California",6,37,404803,1866,1264,679,328,155,81,16,0,5
6037404901,"Census Tract 4049.01, Los Angeles County, California","Census Tract 4049.01, Los Angeles County, California",6,37,404901,6064,3377,1553,785,716,277,31,0,15
6037404902,"Census Tract 4049.02, Los Angeles County, California","Census Tract 4049.02, Los Angeles County, California",6,37,404902,4428,2542,929,646,481,405,34,43,4
6037404903,"Census Tract 4049.03, Los Angeles County, California","Census Tract 4049.03, Los Angeles County, California",6,37,404903,2367,1496,573,404,266,219,27,0,7
6037405001,"Census Tract 4050.01, Los Angeles County, California","Census Tract 4050.01, Los Angeles County, California",6,37,405001,6152,3611,1367,1275,595,344,30,0,0
6037405002,"Census Tract 4050.02, Los Angeles County, California","Census Tract 4050.02, Los Angeles County, California",6,37,405002,3380,1898,833,479,443,127,10,6,0
6037405101,"Census Tract 4051.01, Los Angeles County, California","Census Tract 4051.01, Los Angeles County, California",6,37,405101,5153,3005,1502,924,401,155,13,10,0
6037405102,"Census Tract 4051.02, Los Angeles County, California","Census Tract 4051.02, Los Angeles County, California",6,37,405102,4973,3235,1337,931,644,216,83,24,0
6037405201,"Census Tract 4052.01, Los Angeles County, California","Census Tract 4052.01, Los Angeles County, California",6,37,405201,5276,3182,1232,922,652,255,72,38,11
6037405202,"Census Tract 4052.02, Los Angeles County, California","Census Tract 4052.02, Los Angeles County, California",6,37,405202,4992,2972,1237,782,510,339,84,20,0
6037405203,"Census Tract 4052.03, Los Angeles County, California","Census Tract 4052.03, Los Angeles County, California",6,37,405203,3059,2073,744,549,513,216,45,6,0
6037405301,"Census Tract 4053.01, Los Angeles County, California","Census Tract 4053.01, Los Angeles County, California",6,37,405301,3602,2139,530,491,576,408,77,48,9
6037405302,"Census Tract 4053.02, Los Angeles County, California","Census Tract 4053.02, Los Angeles County, California",6,37,405302,6405,3757,718,1142,1320,490,66,11,10
6037405400,"Census Tract 4054, Los Angeles County, California","Census Tract 4054, Los Angeles County, California",6,37,405400,5233,3453,872,1273,843,397,57,0,11
6037405500,"Census Tract 4055, Los Angeles County, California","Census Tract 4055, Los Angeles County, California",6,37,405500,6481,4007,771,1291,1124,654,124,34,9
6037405600,"Census Tract 4056, Los Angeles County, California","Census Tract 4056, Los Angeles County, California",6,37,405600,5178,3528,445,902,1321,636,119,100,5
6037405701,"Census Tract 4057.01, Los Angeles County, California","Census Tract 4057.01, Los Angeles County, California",6,37,405701,3853,2381,563,681,665,384,72,16,0
6037405702,"Census Tract 4057.02, Los Angeles County, California","Census Tract 4057.02, Los Angeles County, California",6,37,405702,5121,3182,769,598,1030,483,291,11,0
6037405800,"Census Tract 4058, Los Angeles County, California","Census Tract 4058, Los Angeles County, California",6,37,405800,5478,3589,937,914,1212,353,127,41,5
6037405900,"Census Tract 4059, Los Angeles County, California","Census Tract 4059, Los Angeles County, California",6,37,405900,3921,2471,475,769,745,372,86,15,9
6037406000,"Census Tract 4060, Los Angeles County, California","Census Tract 4060, Los Angeles County, California",6,37,406000,5737,3530,646,908,1317,441,170,38,10
6037406101,"Census Tract 4061.01, Los Angeles County, California","Census Tract 4061.01, Los Angeles County, California",6,37,406101,3243,2131,401,546,664,329,155,24,12
6037406102,"Census Tract 4061.02, Los Angeles County, California","Census Tract 4061.02, Los Angeles County, California",6,37,406102,5802,3623,508,807,1591,477,213,5,22
6037406200,"Census Tract 4062, Los Angeles County, California","Census Tract 4062, Los Angeles County, California",6,37,406200,5466,3612,948,859,1030,469,273,33,0
6037406300,"Census Tract 4063, Los Angeles County, California","Census Tract 4063, Los Angeles County, California",6,37,406300,5393,3661,329,867,984,994,323,102,62
6037406402,"Census Tract 4064.02, Los Angeles County, California","Census Tract 4064.02, Los Angeles County, California",6,37,406402,1930,1251,184,307,447,237,54,15,7
6037406411,"Census Tract 4064.11, Los Angeles County, California","Census Tract 4064.11, Los Angeles County, California",6,37,406411,1925,1242,251,288,438,176,77,12,0
6037406412,"Census Tract 4064.12, Los Angeles County, California","Census Tract 4064.12, Los Angeles County, California",6,37,406412,2454,1702,146,442,582,413,104,14,1
6037406500,"Census Tract 4065, Los Angeles County, California","Census Tract 4065, Los Angeles County, California",6,37,406500,6349,4073,382,1142,1538,657,305,38,11
6037406601,"Census Tract 4066.01, Los Angeles County, California","Census Tract 4066.01, Los Angeles County, California",6,37,406601,5291,3595,473,903,1224,743,169,69,14
6037406602,"Census Tract 4066.02, Los Angeles County, California","Census Tract 4066.02, Los Angeles County, California",6,37,406602,4992,3035,708,661,1147,431,69,9,10
6037406701,"Census Tract 4067.01, Los Angeles County, California","Census Tract 4067.01, Los Angeles County, California",6,37,406701,3632,2263,512,557,635,444,95,15,5
6037406702,"Census Tract 4067.02, Los Angeles County, California","Census Tract 4067.02, Los Angeles County, California",6,37,406702,6809,3991,893,1000,1300,629,112,57,0
6037406800,"Census Tract 4068, Los Angeles County, California","Census Tract 4068, Los Angeles County, California",6,37,406800,4802,3148,692,659,980,608,138,46,25
6037406901,"Census Tract 4069.01, Los Angeles County, California","Census Tract 4069.01, Los Angeles County, California",6,37,406901,4506,2730,766,993,659,204,66,42,0
6037406902,"Census Tract 4069.02, Los Angeles County, California","Census Tract 4069.02, Los Angeles County, California",6,37,406902,3447,2273,707,813,600,126,27,0,0
6037407001,"Census Tract 4070.01, Los Angeles County, California","Census Tract 4070.01, Los Angeles County, California",6,37,407001,5723,3294,1373,980,740,137,44,20,0
6037407002,"Census Tract 4070.02, Los Angeles County, California","Census Tract 4070.02, Los Angeles County, California",6,37,407002,3639,2287,812,631,523,219,102,0,0
6037407101,"Census Tract 4071.01, Los Angeles County, California","Census Tract 4071.01, Los Angeles County, California",6,37,407101,5365,3244,1337,938,843,97,24,5,0
6037407102,"Census Tract 4071.02, Los Angeles County, California","Census Tract 4071.02, Los Angeles County, California",6,37,407102,5793,3551,1577,1046,658,212,49,9,0
6037407200,"Census Tract 4072, Los Angeles County, California","Census Tract 4072, Los Angeles County, California",6,37,407200,6804,4246,1634,1502,916,180,14,0,0
6037407301,"Census Tract 4073.01, Los Angeles County, California","Census Tract 4073.01, Los Angeles County, California",6,37,407301,4883,3050,1130,1002,531,321,56,1,9
6037407302,"Census Tract 4073.02, Los Angeles County, California","Census Tract 4073.02, Los Angeles County, California",6,37,407302,3582,2129,749,769,444,132,0,35,0
6037407400,"Census Tract 4074, Los Angeles County, California","Census Tract 4074, Los Angeles County, California",6,37,407400,2036,1361,394,288,420,226,19,14,0
6037407501,"Census Tract 4075.01, Los Angeles County, California","Census Tract 4075.01, Los Angeles County, California",6,37,407501,4502,2860,1227,882,511,133,65,42,0
6037407502,"Census Tract 4075.02, Los Angeles County, California","Census Tract 4075.02, Los Angeles County, California",6,37,407502,3926,2440,987,677,570,180,14,0,12
6037407601,"Census Tract 4076.01, Los Angeles County, California","Census Tract 4076.01, Los Angeles County, California",6,37,407601,4390,2857,1065,686,720,337,49,0,0
6037407602,"Census Tract 4076.02, Los Angeles County, California","Census Tract 4076.02, Los Angeles County, California",6,37,407602,4392,2524,1261,584,444,157,57,21,0
6037407701,"Census Tract 4077.01, Los Angeles County, California","Census Tract 4077.01, Los Angeles County, California",6,37,407701,5018,2851,1444,608,610,156,13,9,11
6037407702,"Census Tract 4077.02, Los Angeles County, California","Census Tract 4077.02, Los Angeles County, California",6,37,407702,6498,4019,1124,1384,752,469,275,7,8
6037407801,"Census Tract 4078.01, Los Angeles County, California","Census Tract 4078.01, Los Angeles County, California",6,37,407801,4875,2963,956,950,645,263,85,64,0
6037407802,"Census Tract 4078.02, Los Angeles County, California","Census Tract 4078.02, Los Angeles County, California",6,37,407802,3609,2275,562,811,492,329,59,22,0
6037407900,"Census Tract 4079, Los Angeles County, California","Census Tract 4079, Los Angeles County, California",6,37,407900,6319,3942,1033,1181,940,690,53,9,36
6037408003,"Census Tract 4080.03, Los Angeles County, California","Census Tract 4080.03, Los Angeles County, California",6,37,408003,4851,3240,663,637,863,802,191,84,0
6037408004,"Census Tract 4080.04, Los Angeles County, California","Census Tract 4080.04, Los Angeles County, California",6,37,408004,2533,1638,115,396,570,468,89,0,0
6037408005,"Census Tract 4080.05, Los Angeles County, California","Census Tract 4080.05, Los Angeles County, California",6,37,408005,4833,3176,322,629,1116,701,216,174,18
6037408006,"Census Tract 4080.06, Los Angeles County, California","Census Tract 4080.06, Los Angeles County, California",6,37,408006,3769,2463,326,418,745,757,167,42,8
6037408133,"Census Tract 4081.33, Los Angeles County, California","Census Tract 4081.33, Los Angeles County, California",6,37,408133,5638,3613,712,927,879,859,190,30,16
6037408134,"Census Tract 4081.34, Los Angeles County, California","Census Tract 4081.34, Los Angeles County, California",6,37,408134,2546,1957,237,220,716,603,118,48,15
6037408135,"Census Tract 4081.35, Los Angeles County, California","Census Tract 4081.35, Los Angeles County, California",6,37,408135,4483,2716,322,458,924,880,108,8,16
6037408136,"Census Tract 4081.36, Los Angeles County, California","Census Tract 4081.36, Los Angeles County, California",6,37,408136,3531,2543,441,669,822,491,64,31,25
6037408137,"Census Tract 4081.37, Los Angeles County, California","Census Tract 4081.37, Los Angeles County, California",6,37,408137,4341,2782,550,536,855,649,158,0,34
6037408138,"Census Tract 4081.38, Los Angeles County, California","Census Tract 4081.38, Los Angeles County, California",6,37,408138,6145,3376,1706,886,651,95,38,0,0
6037408139,"Census Tract 4081.39, Los Angeles County, California","Census Tract 4081.39, Los Angeles County, California",6,37,408139,3994,2313,1229,653,380,34,4,13,0
6037408140,"Census Tract 4081.40, Los Angeles County, California","Census Tract 4081.40, Los Angeles County, California",6,37,408140,3671,1894,1006,483,309,74,18,0,4
6037408141,"Census Tract 4081.41, Los Angeles County, California","Census Tract 4081.41, Los Angeles County, California",6,37,408141,5087,3067,1232,882,674,263,7,0,9
6037408202,"Census Tract 4082.02, Los Angeles County, California","Census Tract 4082.02, Los Angeles County, California",6,37,408202,2067,1321,512,376,293,103,33,0,4
6037408211,"Census Tract 4082.11, Los Angeles County, California","Census Tract 4082.11, Los Angeles County, California",6,37,408211,6271,4653,893,975,1452,1107,214,12,0
6037408212,"Census Tract 4082.12, Los Angeles County, California","Census Tract 4082.12, Los Angeles County, California",6,37,408212,4921,3309,787,892,759,674,127,34,36
6037408301,"Census Tract 4083.01, Los Angeles County, California","Census Tract 4083.01, Los Angeles County, California",6,37,408301,5008,3070,1169,793,792,162,84,15,55
6037408302,"Census Tract 4083.02, Los Angeles County, California","Census Tract 4083.02, Los Angeles County, California",6,37,408302,3750,2538,491,760,627,409,195,56,0
6037408303,"Census Tract 4083.03, Los Angeles County, California","Census Tract 4083.03, Los Angeles County, California",6,37,408303,4198,2784,522,766,900,454,120,22,0
6037408401,"Census Tract 4084.01, Los Angeles County, California","Census Tract 4084.01, Los Angeles County, California",6,37,408401,4968,3054,578,800,987,570,94,14,11
6037408402,"Census Tract 4084.02, Los Angeles County, California","Census Tract 4084.02, Los Angeles County, California",6,37,408402,5425,3857,572,976,1184,607,380,70,68
6037408501,"Census Tract 4085.01, Los Angeles County, California","Census Tract 4085.01, Los Angeles County, California",6,37,408501,3278,2105,663,631,494,284,33,0,0
6037408503,"Census Tract 4085.03, Los Angeles County, California","Census Tract 4085.03, Los Angeles County, California",6,37,408503,6321,4537,413,901,1347,1111,681,37,47
6037408504,"Census Tract 4085.04, Los Angeles County, California","Census Tract 4085.04, Los Angeles County, California",6,37,408504,5164,3344,559,794,922,885,154,16,14
6037408505,"Census Tract 4085.05, Los Angeles County, California","Census Tract 4085.05, Los Angeles County, California",6,37,408505,2922,2069,311,477,720,374,124,58,5
6037408623,"Census Tract 4086.23, Los Angeles County, California","Census Tract 4086.23, Los Angeles County, California",6,37,408623,3128,2230,412,401,739,530,96,30,22
6037408624,"Census Tract 4086.24, Los Angeles County, California","Census Tract 4086.24, Los Angeles County, California",6,37,408624,3518,2462,192,531,681,759,231,32,36
6037408625,"Census Tract 4086.25, Los Angeles County, California","Census Tract 4086.25, Los Angeles County, California",6,37,408625,4074,3039,290,528,780,1027,338,20,56
6037408626,"Census Tract 4086.26, Los Angeles County, California","Census Tract 4086.26, Los Angeles County, California",6,37,408626,4763,3601,177,463,838,1654,296,133,40
6037408627,"Census Tract 4086.27, Los Angeles County, California","Census Tract 4086.27, Los Angeles County, California",6,37,408627,2889,2243,145,504,496,663,311,94,30
6037408628,"Census Tract 4086.28, Los Angeles County, California","Census Tract 4086.28, Los Angeles County, California",6,37,408628,5320,4108,360,851,677,1698,395,95,32
6037408629,"Census Tract 4086.29, Los Angeles County, California","Census Tract 4086.29, Los Angeles County, California",6,37,408629,2949,2179,63,355,486,856,236,102,81
6037408630,"Census Tract 4086.30, Los Angeles County, California","Census Tract 4086.30, Los Angeles County, California",6,37,408630,2706,1572,463,422,468,208,11,0,0
6037408631,"Census Tract 4086.31, Los Angeles County, California","Census Tract 4086.31, Los Angeles County, California",6,37,408631,5355,3625,905,1108,816,488,229,68,11
6037408703,"Census Tract 4087.03, Los Angeles County, California","Census Tract 4087.03, Los Angeles County, California",6,37,408703,6873,4972,395,666,1208,1864,589,163,87
6037408704,"Census Tract 4087.04, Los Angeles County, California","Census Tract 4087.04, Los Angeles County, California",6,37,408704,3205,2298,526,441,793,423,78,37,0
6037408705,"Census Tract 4087.05, Los Angeles County, California","Census Tract 4087.05, Los Angeles County, California",6,37,408705,5449,3872,319,840,1278,1128,276,31,0
6037408706,"Census Tract 4087.06, Los Angeles County, California","Census Tract 4087.06, Los Angeles County, California",6,37,408706,1936,1454,76,216,386,602,115,45,14
6037408722,"Census Tract 4087.22, Los Angeles County, California","Census Tract 4087.22, Los Angeles County, California",6,37,408722,4534,3263,560,668,1057,690,243,15,30
6037408723,"Census Tract 4087.23, Los Angeles County, California","Census Tract 4087.23, Los Angeles County, California",6,37,408723,2875,2046,256,575,615,531,49,20,0
6037408724,"Census Tract 4087.24, Los Angeles County, California","Census Tract 4087.24, Los Angeles County, California",6,37,408724,5194,3055,971,1037,663,326,29,29,0
6037408800,"Census Tract 4088, Los Angeles County, California","Census Tract 4088, Los Angeles County, California",6,37,408800,3755,2170,690,501,538,303,104,26,8
6037430002,"Census Tract 4300.02, Los Angeles County, California","Census Tract 4300.02, Los Angeles County, California",6,37,430002,6893,4703,766,1084,1247,1063,308,167,68
6037430003,"Census Tract 4300.03, Los Angeles County, California","Census Tract 4300.03, Los Angeles County, California",6,37,430003,4598,3400,298,589,1124,823,328,139,99
6037430101,"Census Tract 4301.01, Los Angeles County, California","Census Tract 4301.01, Los Angeles County, California",6,37,430101,4999,3759,731,1145,1074,512,210,37,50
6037430102,"Census Tract 4301.02, Los Angeles County, California","Census Tract 4301.02, Los Angeles County, California",6,37,430102,5009,3173,946,1069,746,360,31,0,21
6037430200,"Census Tract 4302, Los Angeles County, California","Census Tract 4302, Los Angeles County, California",6,37,430200,1171,934,79,101,305,252,104,54,39
6037430301,"Census Tract 4303.01, Los Angeles County, California","Census Tract 4303.01, Los Angeles County, California",6,37,430301,4460,3347,124,466,1007,1127,470,117,36
